observation_date,State,Housing,Housing Values
01-10-2011,NewYork,HPI,562.4
01-10-2011,NewYork,Housing Permits,1616
01-10-2011,NewYork,Total Personal income,998245.5
01-10-2011,Texas,HPI,219.97
01-10-2011,Texas,Housing Permits,8678.152656565
01-10-2011,Texas,Total Personal income,1092305.3
01-01-2012,California,HPI,381.42
01-01-2012,California,Housing Permits,2895.736151274
01-01-2012,California,Total Personal income,1775723.2
01-01-2012,Florida,HPI,267.08
01-01-2012,Florida,Housing Permits,4548.251714025
01-01-2012,Florida,Total Personal income,783296.3
01-01-2012,NewYork,HPI,558.17
01-01-2012,NewYork,Housing Permits,1478
01-01-2012,NewYork,Total Personal income,1020188.8
01-01-2012,Texas,HPI,219.87
01-01-2012,Texas,Housing Permits,9876.83481015
01-01-2012,Texas,Total Personal income,1126725.3
01-04-2012,California,HPI,382.06
01-04-2012,California,Housing Permits,3178.629603463
01-04-2012,California,Total Personal income,1796915.4
01-04-2012,Florida,HPI,265.08
01-04-2012,Florida,Housing Permits,4418.650430021
01-04-2012,Florida,Total Personal income,788471.5
01-04-2012,NewYork,HPI,552.39
01-04-2012,NewYork,Housing Permits,2406
01-04-2012,NewYork,Total Personal income,1034158.1
01-04-2012,Texas,HPI,221.37
01-04-2012,Texas,Housing Permits,9331.470189307
01-04-2012,Texas,Total Personal income,1137664.4
01-07-2012,California,HPI,390.98
01-07-2012,California,Housing Permits,4986.20960585
01-07-2012,California,Total Personal income,1794568.1
01-07-2012,Florida,HPI,271.45
01-07-2012,Florida,Housing Permits,5016.398574433
01-07-2012,Florida,Total Personal income,786468.9
01-07-2012,NewYork,HPI,554.26
01-07-2012,NewYork,Housing Permits,2394
01-07-2012,NewYork,Total Personal income,1031417.7
01-07-2012,Texas,HPI,223.33
01-07-2012,Texas,Housing Permits,11221.464171544
01-07-2012,Texas,Total Personal income,1132864.8
01-10-2012,California,HPI,399.29
01-10-2012,California,Housing Permits,5281.888941932
01-10-2012,California,Total Personal income,1891845.4
01-10-2012,Florida,HPI,275.22
01-10-2012,Florida,Housing Permits,5512.025291418
01-10-2012,Florida,Total Personal income,818047.6
01-10-2012,NewYork,HPI,556.03
01-10-2012,NewYork,Housing Permits,2395
01-10-2012,NewYork,Total Personal income,1073401.8
01-10-2012,Texas,HPI,224.93
01-10-2012,Texas,Housing Permits,12133.704054855
01-10-2012,Texas,Total Personal income,1174295.5
01-01-2013,California,HPI,407.71
01-01-2013,California,Housing Permits,6694.365362943
01-01-2013,California,Total Personal income,1801626.6
01-01-2013,Florida,HPI,278.94
01-01-2013,Florida,Housing Permits,6153.45806796
01-01-2013,Florida,Total Personal income,784880
01-01-2013,NewYork,HPI,556.77
01-01-2013,NewYork,Housing Permits,2188
01-01-2013,NewYork,Total Personal income,1038161.3
01-01-2013,Texas,HPI,226.6
01-01-2013,Texas,Housing Permits,12290.373185591
01-01-2013,Texas,Total Personal income,1152225.2
01-04-2013,California,HPI,426.42
01-04-2013,California,Housing Permits,7152.171282621
01-04-2013,California,Total Personal income,1833423.1
01-04-2013,Florida,HPI,288.23
01-04-2013,Florida,Housing Permits,9200.683000742
01-04-2013,Florida,Total Personal income,791103.5
01-04-2013,NewYork,HPI,558.2
01-04-2013,NewYork,Housing Permits,2593
01-04-2013,NewYork,Total Personal income,1051013.9
01-04-2013,Texas,HPI,230.67
01-04-2013,Texas,Housing Permits,12668.819726049
01-04-2013,Texas,Total Personal income,1169747.4
01-07-2013,California,HPI,447.4
01-07-2013,California,Housing Permits,7049.332110172
01-07-2013,California,Total Personal income,1851647.7
01-07-2013,Florida,HPI,295.6
01-07-2013,Florida,Housing Permits,7093.334005566
01-07-2013,Florida,Total Personal income,797988.9
01-07-2013,NewYork,HPI,560.98
01-07-2013,NewYork,Housing Permits,2847
01-07-2013,NewYork,Total Personal income,1055917.2
01-07-2013,Texas,HPI,234.56
01-07-2013,Texas,Housing Permits,11969.700430339
01-07-2013,Texas,Total Personal income,1181130.2
01-10-2013,California,HPI,462.25
01-10-2013,California,Housing Permits,6933.396592584
01-10-2013,California,Total Personal income,1876843.6
01-10-2013,Florida,HPI,303.13
01-10-2013,Florida,Housing Permits,7654.145977512
01-10-2013,Florida,Total Personal income,804443.9
01-10-2013,NewYork,HPI,559.97
01-10-2013,NewYork,Housing Permits,2854
01-10-2013,NewYork,Total Personal income,1062100
01-10-2013,Texas,HPI,237.29
01-10-2013,Texas,Housing Permits,15536.750843553
01-10-2013,Texas,Total Personal income,1191886.8
01-01-2014,California,HPI,471.87
01-01-2014,California,Housing Permits,5451.609651112
01-01-2014,California,Total Personal income,1902645.1
01-01-2014,Florida,HPI,307.4
01-01-2014,Florida,Housing Permits,7408.03847804
01-01-2014,Florida,Total Personal income,822886.5
01-01-2014,NewYork,HPI,560.42
01-01-2014,NewYork,Housing Permits,1222
01-01-2014,NewYork,Total Personal income,1069979.9
01-01-2014,Texas,HPI,241.28
01-01-2014,Texas,Housing Permits,13722.366514329
01-01-2014,Texas,Total Personal income,1229454.9
01-04-2014,California,HPI,484.65
01-04-2014,California,Housing Permits,7960.515049313
01-04-2014,California,Total Personal income,1937630.9
01-04-2014,Florida,HPI,315.8
01-04-2014,Florida,Housing Permits,6978.287328039
01-04-2014,Florida,Total Personal income,842313.7
01-04-2014,NewYork,HPI,566.01
01-04-2014,NewYork,Housing Permits,3226
01-04-2014,NewYork,Total Personal income,1079346
01-04-2014,Texas,HPI,247.39
01-04-2014,Texas,Housing Permits,16842.792668316
01-04-2014,Texas,Total Personal income,1252629.1
01-07-2014,California,HPI,494.78
01-07-2014,California,Housing Permits,6998.750781739
01-07-2014,California,Total Personal income,1976434.3
01-07-2014,Florida,HPI,322.56
01-07-2014,Florida,Housing Permits,7699.666522935
01-07-2014,Florida,Total Personal income,855898.2
01-07-2014,NewYork,HPI,574.14
01-07-2014,NewYork,Housing Permits,3683
01-07-2014,NewYork,Total Personal income,1096303.9
01-07-2014,Texas,HPI,251.87
01-07-2014,Texas,Housing Permits,13946.876091172
01-07-2014,Texas,Total Personal income,1267767.2
01-10-2014,California,HPI,500.39
01-10-2014,California,Housing Permits,9591.308168899
01-10-2014,California,Total Personal income,2006161.7
01-10-2014,Florida,HPI,328.47
01-10-2014,Florida,Housing Permits,8004.263058171
01-10-2014,Florida,Total Personal income,873042.9
01-10-2014,NewYork,HPI,577.52
01-10-2014,NewYork,Housing Permits,2217
01-10-2014,NewYork,Total Personal income,1114373.3
01-10-2014,Texas,HPI,254.91
01-10-2014,Texas,Housing Permits,13746.457878397
01-10-2014,Texas,Total Personal income,1280707.2
01-01-2015,California,HPI,505.63
01-01-2015,California,Housing Permits,9075.594544514
01-01-2015,California,Total Personal income,2055502.8
01-01-2015,Florida,HPI,335.81
01-01-2015,Florida,Housing Permits,7588.103013312
01-01-2015,Florida,Total Personal income,890419
01-01-2015,NewYork,HPI,582.92
01-01-2015,NewYork,Housing Permits,2353
01-01-2015,NewYork,Total Personal income,1118656.5
01-01-2015,Texas,HPI,258.64
01-01-2015,Texas,Housing Permits,12483.529556999
01-01-2015,Texas,Total Personal income,1285232.6
01-04-2015,California,HPI,516.97
01-04-2015,California,Housing Permits,7803.738609856
01-04-2015,California,Total Personal income,2089561.3
01-04-2015,Florida,HPI,344.01
01-04-2015,Florida,Housing Permits,7805.256607395
01-04-2015,Florida,Total Personal income,902353.3
01-04-2015,NewYork,HPI,587.67
01-04-2015,NewYork,Housing Permits,7351
01-04-2015,NewYork,Total Personal income,1135761.4
01-04-2015,Texas,HPI,265.09
01-04-2015,Texas,Housing Permits,14945.342084898
01-04-2015,Texas,Total Personal income,1279785.2
01-07-2015,California,HPI,530.14
01-07-2015,California,Housing Permits,8532.304156527
01-07-2015,California,Total Personal income,2111103.4
01-07-2015,Florida,HPI,352.52
01-07-2015,Florida,Housing Permits,8267.660898047
01-07-2015,Florida,Total Personal income,910074.5
01-07-2015,NewYork,HPI,592.55
01-07-2015,NewYork,Housing Permits,3800
01-07-2015,NewYork,Total Personal income,1146983.5
01-07-2015,Texas,HPI,270.8
01-07-2015,Texas,Housing Permits,14894.367199802
01-07-2015,Texas,Total Personal income,1282380.6
01-10-2015,California,HPI,537.46
01-10-2015,California,Housing Permits,6249.278134327
01-10-2015,California,Total Personal income,2132030.8
01-10-2015,Florida,HPI,359.47
01-10-2015,Florida,Housing Permits,8603.129229229
01-10-2015,Florida,Total Personal income,918955.1
01-10-2015,NewYork,HPI,593.42
01-10-2015,NewYork,Housing Permits,3091
01-10-2015,NewYork,Total Personal income,1146927.7
01-10-2015,Texas,HPI,273.07
01-10-2015,Texas,Housing Permits,15083.598091129
01-10-2015,Texas,Total Personal income,1277282.2
01-01-2016,California,HPI,544.5
01-01-2016,California,Housing Permits,8200.942641748
01-01-2016,California,Total Personal income,2160710.9
01-01-2016,Florida,HPI,366.16
01-01-2016,Florida,Housing Permits,7793.893542671
01-01-2016,Florida,Total Personal income,921364.3
01-01-2016,NewYork,HPI,596.54
01-01-2016,NewYork,Housing Permits,1079
01-01-2016,NewYork,Total Personal income,1165397.6
01-01-2016,Texas,HPI,276.99
01-01-2016,Texas,Housing Permits,12668.247092817
01-01-2016,Texas,Total Personal income,1262423.3
01-04-2016,California,HPI,554.15
01-04-2016,California,Housing Permits,7419.349073477
01-04-2016,California,Total Personal income,2174042.2
01-04-2016,Florida,HPI,375.54
01-04-2016,Florida,Housing Permits,8798.654454827
01-04-2016,Florida,Total Personal income,930598.8
01-04-2016,NewYork,HPI,606.08
01-04-2016,NewYork,Housing Permits,2039
01-04-2016,NewYork,Total Personal income,1168574.8
01-04-2016,Texas,HPI,284.09
01-04-2016,Texas,Housing Permits,12314.006106897
01-04-2016,Texas,Total Personal income,1265145.6
01-07-2016,California,HPI,566.28
01-07-2016,California,Housing Permits,6263.192886507
01-07-2016,California,Total Personal income,2202555.5
01-07-2016,Florida,HPI,385.74
01-07-2016,Florida,Housing Permits,8896.990034158
01-07-2016,Florida,Total Personal income,945176.7
01-07-2016,NewYork,HPI,614.46
01-07-2016,NewYork,Housing Permits,2941
01-07-2016,NewYork,Total Personal income,1176568.5
01-07-2016,Texas,HPI,289.85
01-07-2016,Texas,Housing Permits,13617.658389774
01-07-2016,Texas,Total Personal income,1279380.3
01-10-2016,California,HPI,573.09
01-10-2016,California,Housing Permits,8464.94872613
01-10-2016,California,Total Personal income,2227243.5
01-10-2016,Florida,HPI,392.15
01-10-2016,Florida,Housing Permits,9566.985650034
01-10-2016,Florida,Total Personal income,958802.7
01-10-2016,NewYork,HPI,619.86
01-10-2016,NewYork,Housing Permits,2642
01-10-2016,NewYork,Total Personal income,1196077.8
01-10-2016,Texas,HPI,292.8
01-10-2016,Texas,Housing Permits,12356.205163095
01-10-2016,Texas,Total Personal income,1298373.1
01-01-2017,California,HPI,579.06
01-01-2017,California,Housing Permits,6110.228215309
01-01-2017,California,Total Personal income,2251305.9
01-01-2017,Florida,HPI,399.37
01-01-2017,Florida,Housing Permits,9810.272335885
01-01-2017,Florida,Total Personal income,983406.3
01-01-2017,NewYork,HPI,621.45
01-01-2017,NewYork,Housing Permits,4548
01-01-2017,NewYork,Total Personal income,1228098.1
01-01-2017,Texas,HPI,296.71
01-01-2017,Texas,Housing Permits,15888.129527952
01-01-2017,Texas,Total Personal income,1332393.6
01-04-2017,California,HPI,591.07
01-04-2017,California,Housing Permits,9310.502935294
01-04-2017,California,Total Personal income,2278666.9
01-04-2017,Florida,HPI,409.19
01-04-2017,Florida,Housing Permits,10030.669804236
01-04-2017,Florida,Total Personal income,1004716.9
01-04-2017,NewYork,HPI,631.3
01-04-2017,NewYork,Housing Permits,4168
01-04-2017,NewYork,Total Personal income,1245621
01-04-2017,Texas,HPI,305.59
01-04-2017,Texas,Housing Permits,13846.495622311
01-04-2017,Texas,Total Personal income,1355880
01-07-2017,California,HPI,602.84
01-07-2017,California,Housing Permits,8376.949431831
01-07-2017,California,Total Personal income,2307389.9
01-07-2017,Florida,HPI,416.39
01-07-2017,Florida,Housing Permits,9843.552273847
01-07-2017,Florida,Total Personal income,1019666.5
01-07-2017,NewYork,HPI,643.87
01-07-2017,NewYork,Housing Permits,2990
01-07-2017,NewYork,Total Personal income,1260519.1
01-07-2017,Texas,HPI,310.05
01-07-2017,Texas,Housing Permits,12171.973919116
01-07-2017,Texas,Total Personal income,1377510.1
01-10-2017,California,HPI,611.48
01-10-2017,California,Housing Permits,10488.137373748
01-10-2017,California,Total Personal income,2342831.9
01-10-2017,Florida,HPI,424.45
01-10-2017,Florida,Housing Permits,10082.909738173
01-10-2017,Florida,Total Personal income,1036219
01-10-2017,NewYork,HPI,649.89
01-10-2017,NewYork,Housing Permits,3116
01-10-2017,NewYork,Total Personal income,1288868.7
01-10-2017,Texas,HPI,312.8
01-10-2017,Texas,Housing Permits,15474.800866259
01-10-2017,Texas,Total Personal income,1405520.4
01-01-2018,California,HPI,621.93
01-01-2018,California,Housing Permits,9535.315681875
01-01-2018,California,Total Personal income,2359551.7
01-01-2018,Florida,HPI,433.01
01-01-2018,Florida,Housing Permits,11125.549935368
01-01-2018,Florida,Total Personal income,1053639.7
01-01-2018,NewYork,HPI,656.84
01-01-2018,NewYork,Housing Permits,2382
01-01-2018,NewYork,Total Personal income,1279906.8
01-01-2018,Texas,HPI,317.04
01-01-2018,Texas,Housing Permits,15450.895183774
01-01-2018,Texas,Total Personal income,1429974.3
01-04-2018,California,HPI,633.79
01-04-2018,California,Housing Permits,9956.189868867
01-04-2018,California,Total Personal income,2395471.8
01-04-2018,Florida,HPI,441.36
01-04-2018,Florida,Housing Permits,12355.63231164
01-04-2018,Florida,Total Personal income,1066705
01-04-2018,NewYork,HPI,664.69
01-04-2018,NewYork,Housing Permits,2300
01-04-2018,NewYork,Total Personal income,1293471.1
01-04-2018,Texas,HPI,324.04
01-04-2018,Texas,Housing Permits,20036.908405516
01-04-2018,Texas,Total Personal income,1450969.9
01-07-2018,California,HPI,641.79
01-07-2018,California,Housing Permits,9973.907623146
01-07-2018,California,Total Personal income,2430234.3
01-07-2018,Florida,HPI,448.78
01-07-2018,Florida,Housing Permits,12921.669445302
01-07-2018,Florida,Total Personal income,1087015.7
01-07-2018,NewYork,HPI,675.58
01-07-2018,NewYork,Housing Permits,4095
01-07-2018,NewYork,Total Personal income,1307483.4
01-07-2018,Texas,HPI,328.21
01-07-2018,Texas,Housing Permits,15829.632373856
01-07-2018,Texas,Total Personal income,1476734.5
01-10-2018,California,HPI,641.72
01-10-2018,California,Housing Permits,8731.069812597
01-10-2018,California,Total Personal income,2458962.7
01-10-2018,Florida,HPI,452.22
01-10-2018,Florida,Housing Permits,11426.426886992
01-10-2018,Florida,Total Personal income,1104681.9
01-10-2018,NewYork,HPI,675.93
01-10-2018,NewYork,Housing Permits,2748
01-10-2018,NewYork,Total Personal income,1313814.7
01-10-2018,Texas,HPI,329.22
01-10-2018,Texas,Housing Permits,13467.248660085
01-10-2018,Texas,Total Personal income,1497480.6
01-01-2019,California,HPI,645.85
01-01-2019,California,Housing Permits,10147.608595415
01-01-2019,California,Total Personal income,2500309.9
01-01-2019,Florida,HPI,459.19
01-01-2019,Florida,Housing Permits,10949.725627022
01-01-2019,Florida,Total Personal income,1128766.9
01-01-2019,NewYork,HPI,681.55
01-01-2019,NewYork,Housing Permits,4036
01-01-2019,NewYork,Total Personal income,1328377.6
01-01-2019,Texas,HPI,333.12
01-01-2019,Texas,Housing Permits,14151.204601194
01-01-2019,Texas,Total Personal income,1514937.8
01-04-2019,California,HPI,652.44
01-04-2019,California,Housing Permits,8861.55609567
01-04-2019,California,Total Personal income,2527505.3
01-04-2019,Florida,HPI,465.22
01-04-2019,Florida,Housing Permits,12789.925234093
01-04-2019,Florida,Total Personal income,1140760
01-04-2019,NewYork,HPI,692.51
01-04-2019,NewYork,Housing Permits,3752
01-04-2019,NewYork,Total Personal income,1343241.5
01-04-2019,Texas,HPI,339.07
01-04-2019,Texas,Housing Permits,15837.816216714
01-04-2019,Texas,Total Personal income,1528139.1
01-07-2019,California,HPI,659.33
01-07-2019,California,Housing Permits,10382.388752931
01-07-2019,California,Total Personal income,2542313.3
01-07-2019,Florida,HPI,472.86
01-07-2019,Florida,Housing Permits,13063.254188988
01-07-2019,Florida,Total Personal income,1149290.9
01-07-2019,NewYork,HPI,702.7
01-07-2019,NewYork,Housing Permits,3694
01-07-2019,NewYork,Total Personal income,1346412.9
01-07-2019,Texas,HPI,343.04
01-07-2019,Texas,Housing Permits,16916.150042624
01-07-2019,Texas,Total Personal income,1542899.2
01-10-2019,California,HPI,663.63
01-10-2019,California,Housing Permits,10090.1135122
01-10-2019,California,Total Personal income,2581673.9
01-10-2019,Florida,HPI,478.97
01-10-2019,Florida,Housing Permits,14635.870419309
01-10-2019,Florida,Total Personal income,1163025.3
01-10-2019,NewYork,HPI,710.2
01-10-2019,NewYork,Housing Permits,3976
01-10-2019,NewYork,Total Personal income,1354233.4
01-10-2019,Texas,HPI,345.62
01-10-2019,Texas,Housing Permits,20126.071897742
01-10-2019,Texas,Total Personal income,1560411.9
01-01-2020,California,HPI,669.86
01-01-2020,California,Housing Permits,9363.85197603
01-01-2020,California,Total Personal income,2620751.8
01-01-2020,Florida,HPI,486.24
01-01-2020,Florida,Housing Permits,14255.463954839
01-01-2020,Florida,Total Personal income,1173940.8
01-01-2020,NewYork,HPI,716.78
01-01-2020,NewYork,Housing Permits,4991
01-01-2020,NewYork,Total Personal income,1350053.9
01-01-2020,Texas,HPI,349.34
01-01-2020,Texas,Housing Permits,17700.083911121
01-01-2020,Texas,Total Personal income,1553244.2
01-04-2020,California,HPI,677.54
01-04-2020,California,Housing Permits,5833.287170892
01-04-2020,California,Total Personal income,2782204.5
01-04-2020,Florida,HPI,492.5
01-04-2020,Florida,Housing Permits,10731.336874007
01-04-2020,Florida,Total Personal income,1249795.5
01-04-2020,NewYork,HPI,722.69
01-04-2020,NewYork,Housing Permits,1077
01-04-2020,NewYork,Total Personal income,1446798.6
01-04-2020,Texas,HPI,351.92
01-04-2020,Texas,Housing Permits,16134.88714081
01-04-2020,Texas,Total Personal income,1649901
01-07-2020,California,HPI,685.46
01-07-2020,California,Housing Permits,10799.34910534
01-07-2020,California,Total Personal income,2853265.6
01-07-2020,Florida,HPI,500.97
01-07-2020,Florida,Housing Permits,13122.345805017
01-07-2020,Florida,Total Personal income,1228312.9
01-07-2020,NewYork,HPI,734.52
01-07-2020,NewYork,Housing Permits,3775
01-07-2020,NewYork,Total Personal income,1432374.5
01-07-2020,Texas,HPI,357.26
01-07-2020,Texas,Housing Permits,19368.229560418
01-07-2020,Texas,Total Personal income,1623058.2
01-10-2020,California,HPI,699.6
01-10-2020,California,Housing Permits,8657.725180791
01-10-2020,California,Total Personal income,2813863.6
01-10-2020,Florida,HPI,514.39
01-10-2020,Florida,Housing Permits,15330.284657797
01-10-2020,Florida,Total Personal income,1232437.1
01-10-2020,NewYork,HPI,750.46
01-10-2020,NewYork,Housing Permits,3375
01-10-2020,NewYork,Total Personal income,1390888.3
01-10-2020,Texas,HPI,365.47
01-10-2020,Texas,Housing Permits,19213.769062103
01-10-2020,Texas,Total Personal income,1618709.6
01-01-2021,California,HPI,719.18
01-01-2021,California,Housing Permits,10681.492851722
01-01-2021,California,Total Personal income,3097752.7
01-01-2021,Florida,HPI,531.05
01-01-2021,Florida,Housing Permits,15823.269180257
01-01-2021,Florida,Total Personal income,1413941.9
01-01-2021,NewYork,HPI,768.24
01-01-2021,NewYork,Housing Permits,3951
01-01-2021,NewYork,Total Personal income,1566720.1
01-01-2021,Texas,HPI,374.14
01-01-2021,Texas,Housing Permits,22271.160583844
01-01-2021,Texas,Total Personal income,1839896.9
01-04-2021,California,HPI,761.85
01-04-2021,California,Housing Permits,10259.154660362
01-04-2021,California,Total Personal income,2972063.1
01-04-2021,Florida,HPI,565.79
01-04-2021,Florida,Housing Permits,17376.513287919
01-04-2021,Florida,Total Personal income,1348830.6
01-04-2021,NewYork,HPI,795.88
01-04-2021,NewYork,Housing Permits,3008
01-04-2021,NewYork,Total Personal income,1491299.2
01-04-2021,Texas,HPI,396.03
01-04-2021,Texas,Housing Permits,23249.86624192
01-04-2021,Texas,Total Personal income,1751180.1
01-07-2021,California,HPI,801.47
01-07-2021,California,Housing Permits,10257.417224076
01-07-2021,California,Total Personal income,2997363.9
01-07-2021,Florida,HPI,607.59
01-07-2021,Florida,Housing Permits,18008.622588281
01-07-2021,Florida,Total Personal income,1360822.8
01-07-2021,NewYork,HPI,835.94
01-07-2021,NewYork,Housing Permits,3007
01-07-2021,NewYork,Total Personal income,1489806.1
01-07-2021,Texas,HPI,421.23
01-07-2021,Texas,Housing Permits,19661.862933148
01-07-2021,Texas,Total Personal income,1766118.1
01-10-2021,California,HPI,833.99
01-10-2021,California,Housing Permits,11262.477616567
01-10-2021,California,Total Personal income,2987527.9
01-10-2021,Florida,HPI,642
01-10-2021,Florida,Housing Permits,16159.427625079
01-10-2021,Florida,Total Personal income,1383922.5
01-10-2021,NewYork,HPI,855.2
01-10-2021,NewYork,Housing Permits,3122
01-10-2021,NewYork,Total Personal income,1484714.9
01-10-2021,Texas,HPI,438.77
01-10-2021,Texas,Housing Permits,17729.033371168
01-10-2021,Texas,Total Personal income,1801682.5
01-01-2022,California,HPI,868.28
01-01-2022,California,Housing Permits,9311.150790644
01-01-2022,California,Total Personal income,2969021.5
01-01-2022,Florida,HPI,678.12
01-01-2022,Florida,Housing Permits,17827.15789695
01-01-2022,Florida,Total Personal income,1397659.1
01-01-2022,NewYork,HPI,876.85
01-01-2022,NewYork,Housing Permits,3085
01-01-2022,NewYork,Total Personal income,1467916.4
01-01-2022,Texas,HPI,459.39
01-01-2022,Texas,Housing Permits,23438.939537226
01-01-2022,Texas,Total Personal income,1825797.9
01-04-2022,California,HPI,922.4
01-04-2022,California,Housing Permits,10258.261753901
01-04-2022,California,Total Personal income,2979888
01-04-2022,Florida,HPI,734.65
01-04-2022,Florida,Housing Permits,17960.688469378
01-04-2022,Florida,Total Personal income,1426529.6
01-04-2022,NewYork,HPI,928.29
01-04-2022,NewYork,Housing Permits,3674
01-04-2022,NewYork,Total Personal income,1473485.4
01-04-2022,Texas,HPI,492.36
01-04-2022,Texas,Housing Permits,24337.430356277
01-04-2022,Texas,Total Personal income,1861370.4
01-07-2022,California,HPI,916.98
01-07-2022,California,Housing Permits,8207.786643065
01-07-2022,California,Total Personal income,3018949.2
01-07-2022,Florida,HPI,765.92
01-07-2022,Florida,Housing Permits,15843.290352701
01-07-2022,Florida,Total Personal income,1459747.6
01-07-2022,NewYork,HPI,949.05
01-07-2022,NewYork,Housing Permits,3702
01-07-2022,NewYork,Total Personal income,1489321.6
01-07-2022,Texas,HPI,503.29
01-07-2022,Texas,Housing Permits,22749.096133411
01-07-2022,Texas,Total Personal income,1902672.1
01-10-2022,California,HPI,895.87
01-10-2022,California,Housing Permits,7537.111692749
01-10-2022,California,Total Personal income,3058730.5
01-10-2022,Florida,HPI,764.85
01-10-2022,Florida,Housing Permits,15658.923830368
01-10-2022,Florida,Total Personal income,1482459.4
01-10-2022,NewYork,HPI,944.84
01-10-2022,NewYork,Housing Permits,2304
01-10-2022,NewYork,Total Personal income,1504485.7
01-10-2022,Texas,HPI,499.65
01-10-2022,Texas,Housing Permits,20706.477757054
01-10-2022,Texas,Total Personal income,1927838.3
01-01-2023,California,HPI,892.48
01-01-2023,California,Housing Permits,8296.381405026
01-01-2023,California,Total Personal income,3087577.6
01-01-2023,Florida,HPI,767.64
01-01-2023,Florida,Housing Permits,15327.603017752
01-01-2023,Florida,Total Personal income,1522449.4
01-01-2023,NewYork,HPI,944.86
01-01-2023,NewYork,Housing Permits,1258
01-01-2023,NewYork,Total Personal income,1525832.2
01-01-2023,Texas,HPI,499.22
01-01-2023,Texas,Housing Permits,17206.44081412
01-01-2023,Texas,Total Personal income,1967104.7
01-04-2023,California,HPI,915.69
01-04-2023,California,Housing Permits,8851.694270406
01-04-2023,California,Total Personal income,3129483.9
01-04-2023,Florida,HPI,785.8
01-04-2023,Florida,Housing Permits,13519.993561582
01-04-2023,Florida,Total Personal income,1535379.8
01-04-2023,NewYork,HPI,982.35
01-04-2023,NewYork,Housing Permits,2011
01-04-2023,NewYork,Total Personal income,1548666.5
01-04-2023,Texas,HPI,506.84
01-04-2023,Texas,Housing Permits,16388.118250194
01-04-2023,Texas,Total Personal income,1977018.2
01-07-2023,California,HPI,929.01
01-07-2023,California,Housing Permits,8886.525893748
01-07-2023,California,Total Personal income,3151805.1
01-07-2023,Florida,HPI,803.85
01-07-2023,Florida,Housing Permits,15924.686978201
01-07-2023,Florida,Total Personal income,1548535.5
01-07-2023,NewYork,HPI,1014.39
01-07-2023,NewYork,Housing Permits,1912
01-07-2023,NewYork,Total Personal income,1562882.2
01-07-2023,Texas,HPI,514.18
01-07-2023,Texas,Housing Permits,17982.263748459
01-07-2023,Texas,Total Personal income,2002468
